                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2659,                0.85989,                0.89634,                0.49915,                0.37045,                0.38343,                0.22708,                  1.234,                0.87979,                0.88874,               0.008548,               0.008548,               0.008548
                     47,                 1.2685,                0.86332,                0.89541,                0.50628,                0.37418,                0.38595,                0.22978,                 1.2313,                0.87915,                 0.8878,               0.008515,               0.008515,               0.008515
                     48,                 1.2551,                0.84451,                0.89326,                0.50472,                0.37016,                0.38457,                0.22685,                 1.2319,                0.87843,                 0.8883,               0.008482,               0.008482,               0.008482
                     49,                 1.2475,                0.84004,                0.89226,                0.51086,                0.37483,                0.38932,                0.23028,                 1.2317,                0.87458,                0.88527,               0.008449,               0.008449,               0.008449
                     50,                 1.2607,                0.84731,                 0.8934,                0.49991,                0.37333,                0.38601,                0.22934,                 1.2288,                 0.8785,                  0.886,               0.008416,               0.008416,               0.008416
                     51,                 1.2476,                0.83704,                0.89262,                0.50266,                 0.3728,                0.38858,                0.23075,                 1.2305,                0.87113,                0.88694,               0.008383,               0.008383,               0.008383
                     52,                 1.2428,                0.83775,                0.89145,                0.49335,                0.36986,                0.38448,                 0.2275,                  1.231,                0.87368,                 0.8868,                0.00835,                0.00835,                0.00835
                     53,                 1.2481,                0.83197,                0.88995,                0.49019,                0.38545,                0.38761,                0.23119,                 1.2211,                0.86735,                0.88516,               0.008317,               0.008317,               0.008317
                     54,                 1.2422,                0.82972,                0.89084,                0.49693,                0.37616,                0.38623,                0.22925,                 1.2309,                0.87031,                0.88687,               0.008284,               0.008284,               0.008284
                     55,                 1.2408,                0.83079,                0.88937,                0.50663,                0.38073,                0.39147,                0.23259,                 1.2246,                0.86654,                0.88692,               0.008251,               0.008251,               0.008251
                     56,                 1.2392,                0.82221,                0.89047,                  0.507,                0.37262,                0.38636,                0.22838,                 1.2294,                0.87084,                 0.8868,               0.008218,               0.008218,               0.008218
                     57,                 1.2406,                0.82148,                0.88982,                0.49745,                0.38384,                0.38999,                0.23175,                 1.2266,                0.86699,                 0.8849,               0.008185,               0.008185,               0.008185
                     58,                 1.2374,                0.82249,                0.88862,                0.50817,                0.38003,                0.38967,                0.23101,                 1.2237,                0.86472,                0.88605,               0.008152,               0.008152,               0.008152
                     59,                 1.2293,                0.81511,                0.88722,                 0.5059,                 0.3845,                0.39199,                0.23475,                 1.2195,                0.86613,                0.88579,               0.008119,               0.008119,               0.008119
                     60,                   1.23,                0.81342,                0.88668,                0.51021,                0.38102,                0.39079,                0.23263,                 1.2212,                0.86733,                0.88583,               0.008086,               0.008086,               0.008086
                     61,                 1.2319,                0.81308,                 0.8874,                0.50229,                0.38112,                0.39251,                0.23371,                  1.219,                0.86632,                0.88418,               0.008053,               0.008053,               0.008053
                     62,                 1.2276,                  0.808,                0.88497,                0.50476,                0.38027,                 0.3952,                0.23558,                 1.2196,                0.86022,                0.88466,                0.00802,                0.00802,                0.00802
                     63,                 1.2222,                0.80967,                0.88793,                 0.5038,                0.38221,                0.39356,                0.23484,                 1.2205,                0.86568,                0.88587,               0.007987,               0.007987,               0.007987
                     64,                 1.2289,                0.80601,                0.88717,                0.49982,                0.38401,                0.39344,                0.23371,                 1.2224,                 0.8657,                0.88536,               0.007954,               0.007954,               0.007954
                     65,                 1.2226,                0.80391,                 0.8855,                0.49676,                 0.3888,                0.39561,                0.23625,                 1.2196,                0.86339,                0.88494,               0.007921,               0.007921,               0.007921
                     66,                 1.2257,                0.80311,                0.88701,                0.50986,                0.38172,                0.39417,                0.23497,                 1.2198,                0.86174,                 0.8852,               0.007888,               0.007888,               0.007888
                     67,                 1.2199,                0.79914,                0.88446,                0.50182,                0.38681,                0.39252,                0.23354,                  1.217,                0.85826,                 0.8849,               0.007855,               0.007855,               0.007855
                     68,                 1.2215,                0.79889,                0.88432,                0.51285,                0.38076,                0.39711,                 0.2369,                 1.2176,                0.85725,                0.88447,               0.007822,               0.007822,               0.007822
                     69,                 1.2186,                0.79856,                0.88448,                0.51146,                0.38331,                0.39465,                0.23546,                  1.215,                0.85627,                0.88315,               0.007789,               0.007789,               0.007789
                     70,                 1.2218,                0.80262,                0.88416,                0.52788,                0.38438,                0.40031,                0.23862,                 1.2128,                0.85483,                0.88298,               0.007756,               0.007756,               0.007756
                     71,                 1.2156,                0.79597,                0.88568,                0.50526,                0.38864,                 0.3978,                0.23854,                 1.2123,                0.85692,                0.88317,               0.007723,               0.007723,               0.007723
                     72,                 1.2165,                  0.793,                  0.885,                 0.5124,                0.38626,                0.39665,                0.23659,                 1.2158,                0.85943,                0.88392,                0.00769,                0.00769,                0.00769
                     73,                 1.2184,                0.79848,                0.88414,                0.49564,                0.39211,                0.39798,                0.23726,                 1.2185,                0.85786,                  0.884,               0.007657,               0.007657,               0.007657
